name,prefecture,city,url,mola_star,lat,lng,has_penguin,penguin_source_url,penguin_checked_at,penguin_status,has_dolphin,has_sealion,has_orca,has_jellyfish,animal_checked_at,is_closed,closed_at
のとじま水族館,石川県,七尾市,https://www.notoaqua.jp/,0,37.148723,136.9821597,true,https://www.notoaqua.jp/,2026/2/26,unknown,true,true,false,true,2026-03-05,FALSE,
のと海洋ふれあいセンター,石川県,能登町,http://notomarine.jp/,0,37.304877,137.240809,false,http://notomarine.jp/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
くにみクラゲ公民館,福井県,福井市,https://tjwcf52557.wixsite.com/kunimikurage,0,36.061751,136.2260542,false,https://tjwcf52557.wixsite.com/kunimikurage,2026/2/26,unknown,false,false,false,true,2026-03-04,FALSE,
越前松島水族館,福井県,坂井市,https://www.echizen-aquarium.com/,0,36.2526485,136.1466764,true,https://www.echizen-aquarium.com/,2026/2/26,unknown,true,true,false,true,2026-03-05,FALSE,
越前がにミュージアム,福井県,越前町,https://www.town-echizen.jp/spot/spot05Detail.php?id=339,0,35.921722,135.997683,false,https://www.town-echizen.jp/spot/spot05Detail.php?id=339,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
福井県海浜自然センター,福井県,若狭町,https://fcnc.pref.fukui.lg.jp/,0,35.5644665,135.8414667,false,https://fcnc.pref.fukui.lg.jp/,2026/2/26,unknown,false,false,false,true,2026-03-04,FALSE,
岐阜県世界淡水魚園水族館 アクア・トトぎふ,岐阜県,各務原市,https://aquatotto.com/,0,35.3995831,136.8485648,false,https://aquatotto.com/,2026/2/26,unknown,false,true,false,false,2026-03-05,FALSE,
民芸ミュージアム 匠の館 森の水族館,岐阜県,高山市,http://hida.net/aquarium.htm,0,36.1396246,137.2510322,false,http://hida.net/aquarium.htm,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
山梨県立富士湧水の里水族館,山梨県,忍野村,http://www.morinonakano-suizokukan.com/,0,35.4600722,138.8478637,false,http://www.morinonakano-suizokukan.com/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
蓼科アミューズメント水族館,長野県,茅野市,https://www.tateshina-aquarium.jp/,0,36.0662657,138.3028697,unknown,https://www.tateshina-aquarium.jp/,2026/2/26,unknown,unknown,unknown,unknown,unknown,2026-03-04,FALSE,
国営アルプスあづみの公園 あづみの学校,長野県,安曇野市,http://www.azumino-koen.jp/horigane_hotaka/map/den-en/index.html,0,36.3044083,137.9054972,false,http://www.azumino-koen.jp/horigane_hotaka/map/den-en/index.html,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
SMART AQUARiUM SHIZUOKA（スマートアクアリウム静岡）,静岡県,静岡市,https://smartaqua-sz.jp/,0,34.9751974,138.3831697,false,https://smartaqua-sz.jp/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
沼津港深海水族館,静岡県,沼津市,http://www.numazu-deepsea.com/,0,35.0840228,138.8581762,false,http://www.numazu-deepsea.com/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
伊豆・三津シーパラダイス,静岡県,沼津市,https://www.mitosea.com/,0,35.0196583,138.8961819,true,https://www.mitosea.com/,2026/2/26,unknown,true,true,false,true,2026-03-05,FALSE,
下田海中水族館,静岡県,下田市,https://shimoda-aquarium.com/,0,34.6661667,138.9460634,true,https://shimoda-aquarium.com/,2026/2/26,unknown,true,true,false,false,2026-03-05,FALSE,
体感型動物園 iZoo,静岡県,河津町,http://izoo.co.jp/,0,34.7570038,138.9875358,false,http://izoo.co.jp/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
熱川バナナワニ園,静岡県,南伊豆町,http://bananawani.jp/,0,34.8164143,139.0679944,false,http://bananawani.jp/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
ドルフィンファンタジー伊東,静岡県,伊東市,http://dolphin-fantasy.com/,0,34.973118,139.1082994,false,http://dolphin-fantasy.com/,2026/2/26,unknown,true,false,false,false,2026-03-04,FALSE,
浜名湖体験学習施設 ウォット,静岡県,浜松市,https://ulotto.entetsuassist-dms.com/,0,34.697483,137.6058449,false,https://ulotto.entetsuassist-dms.com/,2026/2/26,unknown,false,false,false,true,2026-03-05,FALSE,
幼魚水族館,静岡県,清水町,https://yo-sui.com/,0,35.0169,138.9163,true,https://yo-sui.com/,2026/2/26,unknown,false,true,false,true,2026-03-05,FALSE,
時之栖水中楽園AQUARIUM,静岡県,御殿場市,https://www.tokinosumika.com/eventinfo/details.php?log=1427705462,0,35.308753,138.9349133,false,https://www.tokinosumika.com/eventinfo/details.php?log=1427705462,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
名古屋港水族館,愛知県,名古屋市,http://www.nagoyaaqua.jp/,0,35.09097,136.8780335,false,http://www.nagoyaaqua.jp/,2026/2/26,unknown,true,false,false,true,2026-03-05,FALSE,
名古屋市東山動植物園 世界のメダカ館・自然動物館,愛知県,名古屋市,http://www.higashiyama.city.nagoya.jp/,0,35.1851045,136.8998438,false,http://www.higashiyama.city.nagoya.jp/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
シーライフ名古屋,愛知県,名古屋市,https://www.legoland.jp/resort-guide/sealife-nagoya/,0,35.0796,136.8421,false,https://www.legoland.jp/resort-guide/sealife-nagoya/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
南知多ビーチランド,愛知県,美浜町,https://beachland.jp/,0,34.7868063,136.8547061,true,https://beachland.jp/,2026/2/26,unknown,true,true,false,true,2026-03-05,FALSE,
竹島水族館,愛知県,蒲郡市,https://www.city.gamagori.lg.jp/site/takesui/,0,34.8171414,137.2318491,false,https://www.city.gamagori.lg.jp/site/takesui/,2026/2/26,unknown,false,true,false,true,2026-03-05,FALSE,
碧南海浜水族館,愛知県,碧南市,http://www.city.hekinan.lg.jp/aquarium/index.html,0,34.8628,136.9969,false,http://www.city.hekinan.lg.jp/aquarium/index.html,2026/2/26,unknown,false,false,false,true,2026-03-05,FALSE,
のんほいパーク 豊橋総合動植物公園,愛知県,豊橋市,https://www.nonhoi.jp/,0,34.769123,137.391461,false,https://www.nonhoi.jp/,2026/2/26,unknown,false,false,false,false,2026-03-04,FALSE,
赤塚山公園 淡水魚水族館 ぎょぎょランド,愛知県,豊橋市,http://www.akatsukayama.jp/,0,34.767,137.3825,false,http://www.akatsukayama.jp/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
弥富金魚水族館,愛知県,弥富市,https://www.city.yatomi.lg.jp/event_info/1001259/1005653.html,0,35.1138,136.7322,true,https://www.city.yatomi.lg.jp/event_info/1001259/1005653.html,2026/2/26,unknown,false,true,false,true,2026-03-05,FALSE,
鳥羽水族館,三重県,鳥羽市,https://www.aquarium.co.jp/,0,34.4820148,136.8453304,false,https://www.aquarium.co.jp/,2026/2/26,unknown,true,true,false,true,2026-03-05,FALSE,
伊勢夫婦岩ふれあい水族館 シーパラダイス,三重県,伊勢市,https://ise-seaparadise.com/,0,34.4875944,136.7092334,true,https://ise-seaparadise.com/,2026/2/26,unknown,false,true,false,true,2026-03-04,FALSE,
赤目滝水族館（旧：日本サンショウウオセンター）,三重県,名張市,https://www.akame48taki.com/,0,34.6279243,136.1086582,false,https://www.akame48taki.com/,2026/2/26,unknown,false,false,false,false,2026-03-05,FALSE,
